brand,model,segment,state,purchase_year,price,fuel_type,engine_cc,avg_daily_usage_km,insurance_status,resale_value
Bajaj,Pulsar NS200,Sports,Andhra Pradesh,2020,128033.0,Petrol,168.0,2.0,Active,54822.0
KTM,RC 200,Sports,Maharashtra,2018,316163.0,Petrol,193.0,2.0,Active,53218.0
Hero,Xtreme 160R,Commuter,Uttar Pradesh,2024,71173.0,Petrol,114.0,44.6,Active,56038.0
Honda,Hornet 2.0,Commuter,Uttar Pradesh,2018,118750.0,Petrol,,31.4,Expired,49414.0
Hero,Xtreme 160R,Commuter,Rajasthan,2020,84384.0,Petrol,122.0,32.3,Active,39984.0
Honda,Hornet 2.0,Commuter,Maharashtra,2021,113500.0,Petrol,124.0,40.6,Active,68845.0
TVS,Ntorq 125,Commuter,Maharashtra,2017,75531.0,Petrol,103.0,41.7,Active,20891.0
Bajaj,Pulsar 150,Sports,Karnataka,2021,137298.0,Petrol,201.0,16.5,Active,63121.0
Yamaha,FZ-S FI,Sports,Andhra Pradesh,2018,189768.0,Petrol,202.0,18.5,Active,65084.0
Hero,Passion Pro,Commuter,Uttar Pradesh,2018,67459.0,Petrol,125.0,,Active,22492.0
Royal Enfield,Bullet 350,Cruiser,Gujarat,2019,288104.0,Petrol,,9.3,Active,197661.0
Hero,Xtreme 160R,Commuter,Gujarat,2018,80360.0,Petrol,119.0,27.2,Active,28922.0
Bajaj,Pulsar 150,Sports,Maharashtra,2021,136733.0,Petrol,174.0,32.1,Expired,60360.0
Suzuki,Avenis,Commuter,Rajasthan,2017,90620.0,Petrol,121.0,27.1,Active,18330.0
Bajaj,Pulsar 150,Sports,Gujarat,2023,92179.0,Petrol,172.0,5.8,Active,63151.0
Honda,SP 125,Commuter,Rajasthan,2017,89525.0,Petrol,101.0,44.9,Active,34172.0
TVS,Jupiter,Commuter,Uttar Pradesh,2024,69990.0,Petrol,117.0,44.0,Active,52476.0
Honda,Shine,Commuter,Karnataka,2017,73425.0,Petrol,122.0,36.0,Active,27512.0
Honda,Activa 6G,Commuter,Gujarat,2024,70748.0,Petrol,102.0,13.9,Active,60529.0
Hero,Splendor Plus,Commuter,Maharashtra,2016,87786.0,Petrol,106.0,28.9,None,22026.0
Hero,Passion Pro,Commuter,Punjab,2024,91196.0,Petrol,117.0,50.2,Active,72756.0
KTM,RC 200,Sports,Bihar,2021,223017.0,Petrol,206.0,22.6,None,63511.0
Hero,Xtreme 160R,Commuter,Andhra Pradesh,2018,63109.0,Petrol,112.0,42.1,Active,23279.0
Ather,Rizta,Electric,Tamil Nadu,2018,147593.0,Electric,0.0,25.9,Active,15759.0
Hero,Glamour,Commuter,Tamil Nadu,2020,84046.0,Petrol,113.0,30.9,Active,36591.0
Suzuki,Gixxer,Commuter,Kerala,2021,88252.0,Petrol,112.0,15.4,Active,35948.0
Hero,Xtreme 160R,Commuter,Rajasthan,2022,59030.0,Petrol,104.0,55.4,Active,34974.0
Hero,Splendor Plus,Commuter,Uttar Pradesh,2025,86089.0,Petrol,105.0,34.7,Active,81625.0
Bajaj,Avenger 160,Sports,Delhi,2019,148350.0,Petrol,202.0,21.2,Active,46496.0
Hero,HF Deluxe,Commuter,Maharashtra,2025,86989.0,Petrol,125.0,42.0,Active,67395.0
Hero,Splendor Plus,Commuter,Tamil Nadu,2023,73536.0,Petrol,120.0,38.5,Expired,45882.0
Honda,SP 125,Commuter,Bihar,2023,107012.0,Petrol,122.0,28.9,Active,81492.0
Yamaha,R15 V4,Sports,Haryana,2025,133699.0,Petrol,220.0,16.1,Active,114831.0
Royal Enfield,Meteor 350,Cruiser,Delhi,2018,203865.0,Petrol,350.0,26.4,Active,117587.0
Honda,Shine,Commuter,Uttar Pradesh,2017,87906.0,Petrol,112.0,48.2,None,30803.0
Yamaha,Fascino 125,Sports,Andhra Pradesh,2025,135764.0,Petrol,242.0,17.9,Active,130516.0
Hero,Glamour,Commuter,Rajasthan,2020,91540.0,Petrol,109.0,35.3,Active,46547.0
TVS,Apache RTR 160,Commuter,Maharashtra,2024,67780.0,Petrol,106.0,44.2,Active,
Royal Enfield,Hunter 350,Cruiser,Karnataka,2017,288377.0,Petrol,349.0,28.0,Expired,141926.0
Bajaj,CT 100,Sports,Uttar Pradesh,2024,140641.0,Petrol,208.0,2.0,Expired,100774.0
Suzuki,Gixxer,Commuter,Punjab,2022,110182.0,Petrol,110.0,35.4,Expired,52837.0
Bajaj,Avenger 160,Sports,Karnataka,2020,75769.0,Petrol,221.0,5.4,Expired,30735.0
Hero,Passion Pro,Commuter,Karnataka,2017,71416.0,Petrol,103.0,35.3,Active,24254.0
Honda,Unicorn,Commuter,Maharashtra,2020,103652.0,Petrol,103.0,32.6,Active,56550.0
Honda,Activa 6G,Commuter,Kerala,2016,72940.0,Petrol,123.0,41.0,Expired,25563.0
Honda,Hornet 2.0,Commuter,Tamil Nadu,2024,119459.0,Petrol,101.0,28.8,Expired,83792.0
TVS,Ntorq 125,Commuter,Rajasthan,2021,80641.0,Petrol,112.0,12.3,Active,37693.0
Hero,Xtreme 160R,Commuter,Madhya Pradesh,2025,60600.0,Petrol,118.0,36.0,Active,55600.0
Hero,Xtreme 160R,Commuter,Andhra Pradesh,2021,77216.0,Petrol,124.0,34.6,None,35196.0
Suzuki,Access 125,Commuter,West Bengal,2023,114560.0,Petrol,110.0,33.0,Expired,58513.0
Honda,Activa 6G,Commuter,Uttar Pradesh,2016,107604.0,Petrol,100.0,31.8,Expired,36064.0
Bajaj,Avenger 160,Sports,Uttar Pradesh,2020,146011.0,Petrol,201.0,28.9,Active,51966.0
TVS,Apache RTR 160,Commuter,Rajasthan,2021,65213.0,Petrol,103.0,53.7,Expired,30112.0
Ola Electric,S1 Air,Electric,Uttar Pradesh,2019,90141.0,Electric,0.0,30.6,Active,9467.0
Bajaj,Pulsar NS200,Sports,Rajasthan,2022,101366.0,Petrol,227.0,42.9,Active,50540.0
Ola Electric,S1 X,Electric,Andhra Pradesh,2018,119676.0,Electric,0.0,42.6,Active,9574.0
Ather,450S,Electric,Bihar,2019,128523.0,Electric,0.0,32.4,Active,17510.0
Honda,Hornet 2.0,Commuter,Kerala,2022,86030.0,Petrol,109.0,30.8,Expired,53904.0
Honda,Activa 6G,Commuter,Uttar Pradesh,2025,112340.0,Petrol,107.0,42.1,Expired,110306.0
Bajaj,Pulsar NS200,Sports,West Bengal,2020,86908.0,Petrol,225.0,,Expired,31292.0
TVS,Sport,Commuter,Delhi,2022,77299.0,Petrol,103.0,25.1,Active,47433.0
TVS,Raider 125,Commuter,Gujarat,2021,64209.0,Petrol,104.0,35.6,Active,33586.0
Bajaj,CT 100,Sports,Telangana,2025,128701.0,Petrol,216.0,28.3,Active,110067.0
